"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SKBIANCHE"
"CALABRIA";"CATANZARO";"4";"Carriere dei magistrati";332986;162504;"73494";"39499";"48664";10870;"10026"
"CALABRIA";"CATANZARO";"6";"Incarichi extragiudiziari dei magistrati";332986;162504;"73526";"39525";"50487";9610;"9636"
"CALABRIA";"CATANZARO";"2";"Obiezione di coscienza";332986;162504;"73577";"39539";"44761";16471;"8772"
"CALABRIA";"CATANZARO";"3";"Caccia";332986;162504;"73560";"39522";"51778";11692;"6905"
"ABRUZZO";"CHIETI";"7";"Ministero per le politiche agricole";363737;177339;"112946";"58200";"59325";35638;"12293"
"ABRUZZO";"CHIETI";"6";"Incarichi extragiudiziari dei magistrati";363737;177339;"113435";"58480";"80030";15334;"12182"
"ABRUZZO";"CHIETI";"5";"Ordine dei giornalisti";363737;177339;"113176";"58320";"61441";31491;"13858"
"ABRUZZO";"CHIETI";"4";"Carriere dei magistrati";363737;177339;"113345";"58429";"77192";17171;"13203"
"ABRUZZO";"CHIETI";"3";"Caccia";363737;177339;"113498";"58443";"81155";18712;"8831"
"ABRUZZO";"CHIETI";"2";"Obiezione di coscienza";363737;177339;"113567";"58521";"68189";28756;"11393"
"ABRUZZO";"CHIETI";"1";"Privatizzazione";363737;177339;"112871";"58158";"67672";25567;"13672"
"LOMBARDIA";"COMO";"1";"Privatizzazione";451669;216402;"174978";"86732";"126867";30639;"11705"
"LOMBARDIA";"COMO";"7";"Ministero per le politiche agricole";451669;216402;"173049";"85737";"116606";40048;"12091"
"LOMBARDIA";"COMO";"6";"Incarichi extragiudiziari dei magistrati";451669;216402;"173839";"86189";"138876";20119;"10854"
"LOMBARDIA";"COMO";"5";"Ordine dei giornalisti";451669;216402;"172810";"85571";"103826";50642;"13737"
"LOMBARDIA";"COMO";"4";"Carriere dei magistrati";451669;216402;"174985";"86905";"136403";21561;"11380"
"LOMBARDIA";"COMO";"2";"Obiezione di coscienza";451669;216402;"175622";"87028";"118201";43833;"8755"
"LOMBARDIA";"COMO";"3";"Caccia";451669;216402;"174973";"86607";"132283";30409;"7755"
"CALABRIA";"COSENZA";"1";"Privatizzazione";644882;316872;"145629";"77959";"82640";32266;"21433"
"CALABRIA";"COSENZA";"6";"Incarichi extragiudiziari dei magistrati";644882;316872;"145812";"78061";"96587";20287;"20208"
"CALABRIA";"COSENZA";"7";"Ministero per le politiche agricole";644882;316872;"145440";"77824";"73991";41561;"21047"
"CALABRIA";"COSENZA";"4";"Carriere dei magistrati";644882;316872;"145744";"78032";"93206";22217;"21159"
"CALABRIA";"COSENZA";"3";"Caccia";644882;316872;"145777";"78020";"100360";23021;"14949"
"CALABRIA";"COSENZA";"2";"Obiezione di coscienza";644882;316872;"145918";"78120";"87650";31339;"18618"
"CALABRIA";"COSENZA";"5";"Ordine dei giornalisti";644882;316872;"145610";"77938";"77683";37015;"21990"
"LOMBARDIA";"CREMONA";"7";"Ministero per le politiche agricole";281539;134247;"109275";"54174";"67928";26943;"10897"
"LOMBARDIA";"CREMONA";"6";"Incarichi extragiudiziari dei magistrati";281539;134247;"109786";"54493";"83205";12888;"10358"
"LOMBARDIA";"CREMONA";"5";"Ordine dei giornalisti";281539;134247;"109009";"54046";"61938";30883;"12540"
"LOMBARDIA";"CREMONA";"4";"Carriere dei magistrati";281539;134247;"109681";"54429";"81071";14181;"10987"
"LOMBARDIA";"CREMONA";"3";"Caccia";281539;134247;"109359";"54143";"75363";22932;"8068"
"LOMBARDIA";"CREMONA";"2";"Obiezione di coscienza";281539;134247;"110018";"54520";"71098";27219;"8689"
"LOMBARDIA";"CREMONA";"1";"Privatizzazione";281539;134247;"109567";"54360";"73933";20835;"11228"
"PIEMONTE";"CUNEO";"1";"Privatizzazione";465964;226687;"162745";"83668";"104835";30925;"19618"
"PIEMONTE";"CUNEO";"7";"Ministero per le politiche agricole";465964;226687;"162566";"83571";"98140";40079;"17770"
"PIEMONTE";"CUNEO";"6";"Incarichi extragiudiziari dei magistrati";465964;226687;"163114";"83836";"119738";18446;"18178"
"PIEMONTE";"CUNEO";"5";"Ordine dei giornalisti";465964;226687;"162460";"83490";"89927";43488;"21786"
"PIEMONTE";"CUNEO";"4";"Carriere dei magistrati";465964;226687;"162908";"83751";"115973";20335;"19443"
"PIEMONTE";"CUNEO";"3";"Caccia";465964;226687;"163373";"83906";"119373";27643;"11163"
"PIEMONTE";"CUNEO";"2";"Obiezione di coscienza";465964;226687;"163611";"84063";"104748";38509;"14603"
"SICILIA";"ENNA";"5";"Ordine dei giornalisti";188189;92380;"48545";"25352";"23184";13213;"7745"
"SICILIA";"ENNA";"4";"Carriere dei magistrati";188189;92380;"48599";"25385";"28992";8085;"7235"
"SICILIA";"ENNA";"3";"Caccia";188189;92380;"48638";"25401";"31305";8659;"5010"
"SICILIA";"ENNA";"2";"Obiezione di coscienza";188189;92380;"48638";"25408";"26484";11617;"6424"
"SICILIA";"ENNA";"1";"Privatizzazione";188189;92380;"48568";"25361";"26185";10577;"7164"
"SICILIA";"ENNA";"6";"Incarichi extragiudiziari dei magistrati";188189;92380;"48624";"25403";"29745";7489;"7098"
"SICILIA";"ENNA";"7";"Ministero per le politiche agricole";188189;92380;"48543";"25340";"23285";13723;"7172"
"EMILIA-ROMAGNA";"FERRARA";"6";"Incarichi extragiudiziari dei magistrati";314652;148895;"116278";"57996";"87496";13879;"11700"
"EMILIA-ROMAGNA";"FERRARA";"5";"Ordine dei giornalisti";314652;148895;"115828";"57745";"65744";33042;"13536"
"EMILIA-ROMAGNA";"FERRARA";"4";"Carriere dei magistrati";314652;148895;"116148";"57934";"85326";14962;"12434"
"EMILIA-ROMAGNA";"FERRARA";"3";"Caccia";314652;148895;"116661";"58161";"87455";18800;"7652"
"EMILIA-ROMAGNA";"FERRARA";"2";"Obiezione di coscienza";314652;148895;"116728";"58199";"76703";27786;"9309"
"EMILIA-ROMAGNA";"FERRARA";"7";"Ministero per le politiche agricole";314652;148895;"115916";"57805";"67937";32909;"11700"
"EMILIA-ROMAGNA";"FERRARA";"1";"Privatizzazione";314652;148895;"116201";"57930";"75978";24536;"12160"
"TOSCANA";"FIRENZE";"1";"Privatizzazione";811727;385322;"202038";"101750";"120196";58088;"17491"
"TOSCANA";"FIRENZE";"2";"Obiezione di coscienza";811727;385322;"205904";"103618";"136350";54379;"10724"
"TOSCANA";"FIRENZE";"3";"Caccia";811727;385322;"203126";"101955";"148054";41077;"9610"
"TOSCANA";"FIRENZE";"4";"Carriere dei magistrati";811727;385322;"201917";"101706";"150787";27850;"17189"
"TOSCANA";"FIRENZE";"5";"Ordine dei giornalisti";811727;385322;"200676";"101017";"111444";64092;"18964"
"TOSCANA";"FIRENZE";"6";"Incarichi extragiudiziari dei magistrati";811727;385322;"202713";"102176";"159210";23422;"14542"
"TOSCANA";"FIRENZE";"7";"Ministero per le politiche agricole";811727;385322;"200051";"100635";"107444";68135;"18292"
"PUGLIA";"FOGGIA";"7";"Ministero per le politiche agricole";578377;281716;"136735";"72398";"67800";46880;"15439"
"PUGLIA";"FOGGIA";"6";"Incarichi extragiudiziari dei magistrati";578377;281716;"136971";"72555";"94757";20474;"15456"
"PUGLIA";"FOGGIA";"4";"Carriere dei magistrati";578377;281716;"136889";"72515";"90888";23500;"15883"
"PUGLIA";"FOGGIA";"3";"Caccia";578377;281716;"137062";"72607";"98481";22788;"10289"
"PUGLIA";"FOGGIA";"5";"Ordine dei giornalisti";578377;281716;"136525";"72291";"71417";41461;"17020"
"PUGLIA";"FOGGIA";"2";"Obiezione di coscienza";578377;281716;"137005";"72583";"81851";35789;"13260"
"PUGLIA";"FOGGIA";"1";"Privatizzazione";578377;281716;"136767";"72393";"81827";32328;"15531"
